number,code,browser,shortname
1541,U+1F1E9 U+1F1EC,🇩🇬,flag: Diego Garcia
1542,U+1F1E9 U+1F1EF,🇩🇯,flag: Djibouti
1543,U+1F1E9 U+1F1F0,🇩🇰,flag: Denmark
1544,U+1F1E9 U+1F1F2,🇩🇲,flag: Dominica
1545,U+1F1E9 U+1F1F4,🇩🇴,flag: Dominican Republic
1546,U+1F1E9 U+1F1FF,🇩🇿,flag: Algeria
1547,U+1F1EA U+1F1E6,🇪🇦,flag: Ceuta & Melilla
1548,U+1F1EA U+1F1E8,🇪🇨,flag: Ecuador
1549,U+1F1EA U+1F1EA,🇪🇪,flag: Estonia
1550,U+1F1EA U+1F1EC,🇪🇬,flag: Egypt
1551,U+1F1EA U+1F1ED,🇪🇭,flag: Western Sahara
1552,U+1F1EA U+1F1F7,🇪🇷,flag: Eritrea
1553,U+1F1EA U+1F1F8,🇪🇸,flag: Spain
1554,U+1F1EA U+1F1F9,🇪🇹,flag: Ethiopia
1555,U+1F1EA U+1F1FA,🇪🇺,flag: European Union
1556,U+1F1EB U+1F1EE,🇫🇮,flag: Finland
1557,U+1F1EB U+1F1EF,🇫🇯,flag: Fiji
1558,U+1F1EB U+1F1F0,🇫🇰,flag: Falkland Islands
1559,U+1F1EB U+1F1F2,🇫🇲,flag: Micronesia
1560,U+1F1EB U+1F1F4,🇫🇴,flag: Faroe Islands
1561,U+1F1EB U+1F1F7,🇫🇷,flag: France
1562,U+1F1EC U+1F1E6,🇬🇦,flag: Gabon
1563,U+1F1EC U+1F1E7,🇬🇧,flag: United Kingdom
1564,U+1F1EC U+1F1E9,🇬🇩,flag: Grenada
1565,U+1F1EC U+1F1EA,🇬🇪,flag: Georgia
1566,U+1F1EC U+1F1EB,🇬🇫,flag: French Guiana
1567,U+1F1EC U+1F1EC,🇬🇬,flag: Guernsey
1568,U+1F1EC U+1F1ED,🇬🇭,flag: Ghana
1569,U+1F1EC U+1F1EE,🇬🇮,flag: Gibraltar
1570,U+1F1EC U+1F1F1,🇬🇱,flag: Greenland
1571,U+1F1EC U+1F1F2,🇬🇲,flag: Gambia
1572,U+1F1EC U+1F1F3,🇬🇳,flag: Guinea
1573,U+1F1EC U+1F1F5,🇬🇵,flag: Guadeloupe
1574,U+1F1EC U+1F1F6,🇬🇶,flag: Equatorial Guinea
1575,U+1F1EC U+1F1F7,🇬🇷,flag: Greece
1576,U+1F1EC U+1F1F8,🇬🇸,flag: South Georgia & South Sandwich Islands
1577,U+1F1EC U+1F1F9,🇬🇹,flag: Guatemala
1578,U+1F1EC U+1F1FA,🇬🇺,flag: Guam
1579,U+1F1EC U+1F1FC,🇬🇼,flag: Guinea-Bissau
1580,U+1F1EC U+1F1FE,🇬🇾,flag: Guyana
1581,U+1F1ED U+1F1F0,🇭🇰,flag: Hong Kong SAR China
1582,U+1F1ED U+1F1F2,🇭🇲,flag: Heard & McDonald Islands
1583,U+1F1ED U+1F1F3,🇭🇳,flag: Honduras
1584,U+1F1ED U+1F1F7,🇭🇷,flag: Croatia
1585,U+1F1ED U+1F1F9,🇭🇹,flag: Haiti
1586,U+1F1ED U+1F1FA,🇭🇺,flag: Hungary
1587,U+1F1EE U+1F1E8,🇮🇨,flag: Canary Islands
1588,U+1F1EE U+1F1E9,🇮🇩,flag: Indonesia
1589,U+1F1EE U+1F1EA,🇮🇪,flag: Ireland
1590,U+1F1EE U+1F1F1,🇮🇱,flag: Israel
1591,U+1F1EE U+1F1F2,🇮🇲,flag: Isle of Man
1592,U+1F1EE U+1F1F3,🇮🇳,flag: India
1593,U+1F1EE U+1F1F4,🇮🇴,flag: British Indian Ocean Territory
1594,U+1F1EE U+1F1F6,🇮🇶,flag: Iraq
1595,U+1F1EE U+1F1F7,🇮🇷,flag: Iran
1596,U+1F1EE U+1F1F8,🇮🇸,flag: Iceland
1597,U+1F1EE U+1F1F9,🇮🇹,flag: Italy
1598,U+1F1EF U+1F1EA,🇯🇪,flag: Jersey
1599,U+1F1EF U+1F1F2,🇯🇲,flag: Jamaica
1600,U+1F1EF U+1F1F4,🇯🇴,flag: Jordan
1601,U+1F1EF U+1F1F5,🇯🇵,flag: Japan
1602,U+1F1F0 U+1F1EA,🇰🇪,flag: Kenya
1603,U+1F1F0 U+1F1EC,🇰🇬,flag: Kyrgyzstan
1604,U+1F1F0 U+1F1ED,🇰🇭,flag: Cambodia
1605,U+1F1F0 U+1F1EE,🇰🇮,flag: Kiribati
1606,U+1F1F0 U+1F1F2,🇰🇲,flag: Comoros
1607,U+1F1F0 U+1F1F3,🇰🇳,flag: St. Kitts & Nevis
1608,U+1F1F0 U+1F1F5,🇰🇵,flag: North Korea
1609,U+1F1F0 U+1F1F7,🇰🇷,flag: South Korea
1610,U+1F1F0 U+1F1FC,🇰🇼,flag: Kuwait
1611,U+1F1F0 U+1F1FE,🇰🇾,flag: Cayman Islands
1612,U+1F1F0 U+1F1FF,🇰🇿,flag: Kazakhstan
1613,U+1F1F1 U+1F1E6,🇱🇦,flag: Laos
1614,U+1F1F1 U+1F1E7,🇱🇧,flag: Lebanon
1615,U+1F1F1 U+1F1E8,🇱🇨,flag: St. Lucia
1616,U+1F1F1 U+1F1EE,🇱🇮,flag: Liechtenstein
1617,U+1F1F1 U+1F1F0,🇱🇰,flag: Sri Lanka
1618,U+1F1F1 U+1F1F7,🇱🇷,flag: Liberia
1619,U+1F1F1 U+1F1F8,🇱🇸,flag: Lesotho
1620,U+1F1F1 U+1F1F9,🇱🇹,flag: Lithuania
1621,U+1F1F1 U+1F1FA,🇱🇺,flag: Luxembourg
1622,U+1F1F1 U+1F1FB,🇱🇻,flag: Latvia
1623,U+1F1F1 U+1F1FE,🇱🇾,flag: Libya
1624,U+1F1F2 U+1F1E6,🇲🇦,flag: Morocco
1625,U+1F1F2 U+1F1E8,🇲🇨,flag: Monaco
1626,U+1F1F2 U+1F1E9,🇲🇩,flag: Moldova
1627,U+1F1F2 U+1F1EA,🇲🇪,flag: Montenegro
1628,U+1F1F2 U+1F1EB,🇲🇫,flag: St. Martin
1629,U+1F1F2 U+1F1EC,🇲🇬,flag: Madagascar
1630,U+1F1F2 U+1F1ED,🇲🇭,flag: Marshall Islands
1631,U+1F1F2 U+1F1F0,🇲🇰,flag: North Macedonia
1632,U+1F1F2 U+1F1F1,🇲🇱,flag: Mali
1633,U+1F1F2 U+1F1F2,🇲🇲,flag: Myanmar (Burma)
1634,U+1F1F2 U+1F1F3,🇲🇳,flag: Mongolia
1635,U+1F1F2 U+1F1F4,🇲🇴,flag: Macao SAR China
1636,U+1F1F2 U+1F1F5,🇲🇵,flag: Northern Mariana Islands
1637,U+1F1F2 U+1F1F6,🇲🇶,flag: Martinique
1638,U+1F1F2 U+1F1F7,🇲🇷,flag: Mauritania
1639,U+1F1F2 U+1F1F8,🇲🇸,flag: Montserrat
1640,U+1F1F2 U+1F1F9,🇲🇹,flag: Malta
1641,U+1F1F2 U+1F1FA,🇲🇺,flag: Mauritius
1642,U+1F1F2 U+1F1FB,🇲🇻,flag: Maldives
1643,U+1F1F2 U+1F1FC,🇲🇼,flag: Malawi
1644,U+1F1F2 U+1F1FD,🇲🇽,flag: Mexico
1645,U+1F1F2 U+1F1FE,🇲🇾,flag: Malaysia
1646,U+1F1F2 U+1F1FF,🇲🇿,flag: Mozambique
1647,U+1F1F3 U+1F1E6,🇳🇦,flag: Namibia
1648,U+1F1F3 U+1F1E8,🇳🇨,flag: New Caledonia
1649,U+1F1F3 U+1F1EA,🇳🇪,flag: Niger
1650,U+1F1F3 U+1F1EB,🇳🇫,flag: Norfolk Island
1651,U+1F1F3 U+1F1EC,🇳🇬,flag: Nigeria
1652,U+1F1F3 U+1F1EE,🇳🇮,flag: Nicaragua
1653,U+1F1F3 U+1F1F1,🇳🇱,flag: Netherlands
1654,U+1F1F3 U+1F1F4,🇳🇴,flag: Norway
1655,U+1F1F3 U+1F1F5,🇳🇵,flag: Nepal
1656,U+1F1F3 U+1F1F7,🇳🇷,flag: Nauru
1657,U+1F1F3 U+1F1FA,🇳🇺,flag: Niue
1658,U+1F1F3 U+1F1FF,🇳🇿,flag: New Zealand
1659,U+1F1F4 U+1F1F2,🇴🇲,flag: Oman
1660,U+1F1F5 U+1F1E6,🇵🇦,flag: Panama
1661,U+1F1F5 U+1F1EA,🇵🇪,flag: Peru
1662,U+1F1F5 U+1F1EB,🇵🇫,flag: French Polynesia
1663,U+1F1F5 U+1F1EC,🇵🇬,flag: Papua New Guinea
1664,U+1F1F5 U+1F1ED,🇵🇭,flag: Philippines
1665,U+1F1F5 U+1F1F0,🇵🇰,flag: Pakistan
1666,U+1F1F5 U+1F1F1,🇵🇱,flag: Poland
1667,U+1F1F5 U+1F1F2,🇵🇲,flag: St. Pierre & Miquelon
1668,U+1F1F5 U+1F1F3,🇵🇳,flag: Pitcairn Islands
1669,U+1F1F5 U+1F1F7,🇵🇷,flag: Puerto Rico
1670,U+1F1F5 U+1F1F8,🇵🇸,flag: Palestinian Territories
1671,U+1F1F5 U+1F1F9,🇵🇹,flag: Portugal
1672,U+1F1F5 U+1F1FC,🇵🇼,flag: Palau
1673,U+1F1F5 U+1F1FE,🇵🇾,flag: Paraguay
1674,U+1F1F6 U+1F1E6,🇶🇦,flag: Qatar
1675,U+1F1F7 U+1F1EA,🇷🇪,flag: Réunion
1676,U+1F1F7 U+1F1F4,🇷🇴,flag: Romania
1677,U+1F1F7 U+1F1F8,🇷🇸,flag: Serbia
1678,U+1F1F7 U+1F1FA,🇷🇺,flag: Russia
1679,U+1F1F7 U+1F1FC,🇷🇼,flag: Rwanda
1680,U+1F1F8 U+1F1E6,🇸🇦,flag: Saudi Arabia
1681,U+1F1F8 U+1F1E7,🇸🇧,flag: Solomon Islands
1682,U+1F1F8 U+1F1E8,🇸🇨,flag: Seychelles
1683,U+1F1F8 U+1F1E9,🇸🇩,flag: Sudan
1684,U+1F1F8 U+1F1EA,🇸🇪,flag: Sweden
1685,U+1F1F8 U+1F1EC,🇸🇬,flag: Singapore
1686,U+1F1F8 U+1F1ED,🇸🇭,flag: St. Helena
1687,U+1F1F8 U+1F1EE,🇸🇮,flag: Slovenia
1688,U+1F1F8 U+1F1EF,🇸🇯,flag: Svalbard & Jan Mayen
1689,U+1F1F8 U+1F1F0,🇸🇰,flag: Slovakia
1690,U+1F1F8 U+1F1F1,🇸🇱,flag: Sierra Leone
1691,U+1F1F8 U+1F1F2,🇸🇲,flag: San Marino
1692,U+1F1F8 U+1F1F3,🇸🇳,flag: Senegal
1693,U+1F1F8 U+1F1F4,🇸🇴,flag: Somalia
1694,U+1F1F8 U+1F1F7,🇸🇷,flag: Suriname
1695,U+1F1F8 U+1F1F8,🇸🇸,flag: South Sudan
1696,U+1F1F8 U+1F1F9,🇸🇹,flag: São Tomé & Príncipe
1697,U+1F1F8 U+1F1FB,🇸🇻,flag: El Salvador
1698,U+1F1F8 U+1F1FD,🇸🇽,flag: Sint Maarten
1699,U+1F1F8 U+1F1FE,🇸🇾,flag: Syria
1700,U+1F1F8 U+1F1FF,🇸🇿,flag: Eswatini
1701,U+1F1F9 U+1F1E6,🇹🇦,flag: Tristan da Cunha
1702,U+1F1F9 U+1F1E8,🇹🇨,flag: Turks & Caicos Islands
1703,U+1F1F9 U+1F1E9,🇹🇩,flag: Chad
1704,U+1F1F9 U+1F1EB,🇹🇫,flag: French Southern Territories
1705,U+1F1F9 U+1F1EC,🇹🇬,flag: Togo
1706,U+1F1F9 U+1F1ED,🇹🇭,flag: Thailand
1707,U+1F1F9 U+1F1EF,🇹🇯,flag: Tajikistan
1708,U+1F1F9 U+1F1F0,🇹🇰,flag: Tokelau
1709,U+1F1F9 U+1F1F1,🇹🇱,flag: Timor-Leste
1710,U+1F1F9 U+1F1F2,🇹🇲,flag: Turkmenistan
1711,U+1F1F9 U+1F1F3,🇹🇳,flag: Tunisia
1712,U+1F1F9 U+1F1F4,🇹🇴,flag: Tonga
1713,U+1F1F9 U+1F1F7,🇹🇷,flag: Turkey
1714,U+1F1F9 U+1F1F9,🇹🇹,flag: Trinidad & Tobago
1715,U+1F1F9 U+1F1FB,🇹🇻,flag: Tuvalu
1716,U+1F1F9 U+1F1FC,🇹🇼,flag: Taiwan
1717,U+1F1F9 U+1F1FF,🇹🇿,flag: Tanzania
1718,U+1F1FA U+1F1E6,🇺🇦,flag: Ukraine
1719,U+1F1FA U+1F1EC,🇺🇬,flag: Uganda
1720,U+1F1FA U+1F1F2,🇺🇲,flag: U.S. Outlying Islands
1721,U+1F1FA U+1F1F3,🇺🇳,flag: United Nations
1722,U+1F1FA U+1F1F8,🇺🇸,flag: United States
1723,U+1F1FA U+1F1FE,🇺🇾,flag: Uruguay
1724,U+1F1FA U+1F1FF,🇺🇿,flag: Uzbekistan
1725,U+1F1FB U+1F1E6,🇻🇦,flag: Vatican City
1726,U+1F1FB U+1F1E8,🇻🇨,flag: St. Vincent & Grenadines
1727,U+1F1FB U+1F1EA,🇻🇪,flag: Venezuela
1728,U+1F1FB U+1F1EC,🇻🇬,flag: British Virgin Islands
1729,U+1F1FB U+1F1EE,🇻🇮,flag: U.S. Virgin Islands
1730,U+1F1FB U+1F1F3,🇻🇳,flag: Vietnam
1731,U+1F1FB U+1F1FA,🇻🇺,flag: Vanuatu
1732,U+1F1FC U+1F1EB,🇼🇫,flag: Wallis & Futuna
1733,U+1F1FC U+1F1F8,🇼🇸,flag: Samoa
1734,U+1F1FD U+1F1F0,🇽🇰,flag: Kosovo
1735,U+1F1FE U+1F1EA,🇾🇪,flag: Yemen
1736,U+1F1FE U+1F1F9,🇾🇹,flag: Mayotte
1737,U+1F1FF U+1F1E6,🇿🇦,flag: South Africa
1738,U+1F1FF U+1F1F2,🇿🇲,flag: Zambia
1739,U+1F1FF U+1F1FC,🇿🇼,flag: Zimbabwe
1740,U+1F3F4 U+E0067 U+E0062 U+E0065 U+E006E U+E0067 U+E007F,🏴󠁧󠁢󠁥󠁮󠁧󠁿,flag: England
1741,U+1F3F4 U+E0067 U+E0062 U+E0073 U+E0063 U+E0074 U+E007F,🏴󠁧󠁢󠁳󠁣󠁴󠁿,flag: Scotland
1742,U+1F3F4 U+E0067 U+E0062 U+E0077 U+E006C U+E0073 U+E007F,🏴󠁧󠁢󠁷󠁬󠁳󠁿,flag: Wales
