number,code,browser,shortname
270,U+1F468 U+200D U+1F373,👨‍🍳,man cook
271,U+1F469 U+200D U+1F373,👩‍🍳,woman cook
273,U+1F468 U+200D U+1F527,👨‍🔧,man mechanic
274,U+1F469 U+200D U+1F527,👩‍🔧,woman mechanic
276,U+1F468 U+200D U+1F3ED,👨‍🏭,man factory worker
277,U+1F469 U+200D U+1F3ED,👩‍🏭,woman factory worker
279,U+1F468 U+200D U+1F4BC,👨‍💼,man office worker
280,U+1F469 U+200D U+1F4BC,👩‍💼,woman office worker
282,U+1F468 U+200D U+1F52C,👨‍🔬,man scientist
283,U+1F469 U+200D U+1F52C,👩‍🔬,woman scientist
285,U+1F468 U+200D U+1F4BB,👨‍💻,man technologist
286,U+1F469 U+200D U+1F4BB,👩‍💻,woman technologist
288,U+1F468 U+200D U+1F3A4,👨‍🎤,man singer
289,U+1F469 U+200D U+1F3A4,👩‍🎤,woman singer
291,U+1F468 U+200D U+1F3A8,👨‍🎨,man artist
292,U+1F469 U+200D U+1F3A8,👩‍🎨,woman artist
294,U+1F468 U+200D U+2708 U+FE0F,👨‍✈️,man pilot
295,U+1F469 U+200D U+2708 U+FE0F,👩‍✈️,woman pilot
297,U+1F468 U+200D U+1F680,👨‍🚀,man astronaut
298,U+1F469 U+200D U+1F680,👩‍🚀,woman astronaut
300,U+1F468 U+200D U+1F692,👨‍🚒,man firefighter
301,U+1F469 U+200D U+1F692,👩‍🚒,woman firefighter
302,U+1F46E,👮,police officer
303,U+1F46E U+200D U+2642 U+FE0F,👮‍♂️,man police officer
304,U+1F46E U+200D U+2640 U+FE0F,👮‍♀️,woman police officer
305,U+1F575,🕵,detective
306,U+1F575 U+FE0F U+200D U+2642 U+FE0F,🕵️‍♂️,man detective
307,U+1F575 U+FE0F U+200D U+2640 U+FE0F,🕵️‍♀️,woman detective
308,U+1F482,💂,guard
309,U+1F482 U+200D U+2642 U+FE0F,💂‍♂️,man guard
310,U+1F482 U+200D U+2640 U+FE0F,💂‍♀️,woman guard
311,U+1F477,👷,construction worker
312,U+1F477 U+200D U+2642 U+FE0F,👷‍♂️,man construction worker
313,U+1F477 U+200D U+2640 U+FE0F,👷‍♀️,woman construction worker
314,U+1F934,🤴,prince
315,U+1F478,👸,princess
316,U+1F473,👳,person wearing turban
317,U+1F473 U+200D U+2642 U+FE0F,👳‍♂️,man wearing turban
318,U+1F473 U+200D U+2640 U+FE0F,👳‍♀️,woman wearing turban
319,U+1F472,👲,person with skullcap
321,U+1F935,🤵,person in tuxedo
322,U+1F470,👰,person with veil
323,U+1F930,🤰,pregnant woman
325,U+1F47C,👼,baby angel
326,U+1F385,🎅,Santa Claus
327,U+1F936,🤶,Mrs. Claus
355,U+1F486,💆,person getting massage
356,U+1F486 U+200D U+2642 U+FE0F,💆‍♂️,man getting massage
357,U+1F486 U+200D U+2640 U+FE0F,💆‍♀️,woman getting massage
358,U+1F487,💇,person getting haircut
359,U+1F487 U+200D U+2642 U+FE0F,💇‍♂️,man getting haircut
360,U+1F487 U+200D U+2640 U+FE0F,💇‍♀️,woman getting haircut
361,U+1F6B6,🚶,person walking
362,U+1F6B6 U+200D U+2642 U+FE0F,🚶‍♂️,man walking
363,U+1F6B6 U+200D U+2640 U+FE0F,🚶‍♀️,woman walking
379,U+1F3C3,🏃,person running
380,U+1F3C3 U+200D U+2642 U+FE0F,🏃‍♂️,man running
381,U+1F3C3 U+200D U+2640 U+FE0F,🏃‍♀️,woman running
382,U+1F483,💃,woman dancing
383,U+1F57A,🕺,man dancing
384,U+1F574,🕴,person in suit levitating
385,U+1F46F,👯,people with bunny ears
386,U+1F46F U+200D U+2642 U+FE0F,👯‍♂️,men with bunny ears
387,U+1F46F U+200D U+2640 U+FE0F,👯‍♀️,women with bunny ears
394,U+1F93A,🤺,person fencing
395,U+1F3C7,🏇,horse racing
396,U+26F7,⛷,skier
397,U+1F3C2,🏂,snowboarder
398,U+1F3CC,🏌,person golfing
399,U+1F3CC U+FE0F U+200D U+2642 U+FE0F,🏌️‍♂️,man golfing
400,U+1F3CC U+FE0F U+200D U+2640 U+FE0F,🏌️‍♀️,woman golfing
401,U+1F3C4,🏄,person surfing
402,U+1F3C4 U+200D U+2642 U+FE0F,🏄‍♂️,man surfing
